(3C5A98):16g8:[:]{050903D5}      | As you explore the wilderness a settlement comes into view up ahead!
(A80000):16ga:[!]{050503D6}      | It's deep water there! You need to swim, or go by watercraft.
(143270):16ga:[#]{050503D7}      | Zooming in ... 
(000000):16ga:[B]{050503D7}      | By this lake, where the surface of the water reflects images of both you and the skies above, you take a closer look at this area.
(000000):16ga:[Y]{050503D7}      | You hear goldeneye calling in the south-east.
(3C5A98):16ga:[:]{050503D8}      | The water here is shallow enough to wade.
(A80000):16ga:[!]{050503D8}      | The water is chilly.
(147870):16ga:[?]{050503D8}      | Step into water?
(143270):16ga:[#]{050503D8}      | You see a patch of 8 growing lake reeds here.
(3C5A98):16ga:[:]{050503D8}      | It can be harvested after over a month. 
(3C5A98):16ga:[:]{050503D8}      | You feel cold.
(143270):16ga:[#]{050503D8}      | You see a growing black currant bush here.
(3C5A98):16ga:[:]{050503D8}      | It can be harvested after couple of months. 
(3C5A98):16ga:[:]{050503D8}      | You get out of the water.
(147870):16ga:[?]{050503D8}      | Drink from the natural source?
(3C5A98):16ga:[:]{050503D8}      | You take a sip of water.
(008000):16ga:[=]{050503D8}      | Your thirst is extinguished.
(A80000):16ga:[!]{050503D8}      | There is nothing here to pick up.
(143270):16ga:[#]{050503D7}      | You see a rock here.
(A80000):16ga:[!]{050503D7}      | There's a spruce blocking your way!
(143270):16ga:[#]{050503D7}      | You see a growing strawberry shrub here.
(3C5A98):16ga:[:]{050503D7}      | It can be harvested after a month. 
(143270):16ga:[#]{050503D7}      | You see a growing strawberry shrub here.
(3C5A98):16ga:[:]{050503D7}      | It can be harvested after a month. 
(000000):16ga:[Y]{050503D7}      | You hear willow grouse cooing in the north-west.
(A80000):16ga:[!]{050503D7}      | There is nothing here to pick up.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(3C5A98):16ga:[:]{050503D7}      | You pick up the branch.
(143270):16ga:[#]{050503D7}      | Using: TIMBERCRAFT
(143270):16ga:[#]{050503D7}      | Timbercraft option: Fell a tree
(A80000):16ga:[!]{050503D7}      | There's no proper tree to work with!
(A80000):16ga:[!]{050503D7}      | There's a young spruce blocking your way!
(147870):16ga:[?]{050503D7}      | You are about to start hauling items at your feet.
(A80000):16ga:[!]{050503D7}      | There are no items at your feet!
(147870):16ga:[?]{050503D7}      | You are about to start hauling items at your feet.
(A80000):16ga:[!]{050503D7}      | There are no items at your feet!
(147870):16ga:[?]{050503D7}      | You are about to start hauling items at your feet.
(A80000):16ga:[!]{050503D7}      | There are no items at your feet!
(143270):16ga:[#]{050503D7}      | Using: TIMBERCRAFT
(143270):16ga:[#]{050503D7}      | Timbercraft option: Fell a tree
(147870):16ga:[?]{050503D7}      | (1) You need cutting weapon - preferably a woodsman's axe.
(AB5700):16ga:[+]{050503D7}      | The rough handaxe in your inventory will be used.
(000000):16ga:[O]{050503D7}      | Ok, you have all the necessary equipment!
(A80000):16ga:[!]{050503D7}      | The handaxe is a satisfactory tool here but suffers from rough quality.
(000000):16ga:[G]{050503D7}      | Goldeneye flies up into the air.
(3C5A98):16ga:[:]{050503D7}      | You feel chilly.
(000000):16ga:[Y]{050503D7}      | You hear rustle of wings from the north-west.
(000000):16ga:[Y]{050503D7}      | You hear willow grouse cooing in the north-west.
(3C5A98):16ga:[:]{050503D7}      | The tree falls down.
(143270):16ga:[#]{050503D7}      | Using: TIMBERCRAFT
(143270):16ga:[#]{050503D7}      | Timbercraft option: Chop felled tree into blocks
(A80000):16ga:[!]{050503D7}      | There is not any big tree trunk to work with!
(143270):16ga:[#]{050503D7}      | You see 4 slender tree trunks here.
(147870):16ga:[?]{050503D7}      | You are about to start hauling items at your feet.
(3C5A98):16ga:[:]{050503D7}      | You start hauling. Use the command again when you are done.
(143270):16ga:[#]{050503D7}      | Using: TIMBERCRAFT
(143270):16ga:[#]{050503D7}      | Timbercraft option: Chop felled tree into blocks
(A80000):16ga:[!]{050503D7}      | There is not any big tree trunk to work with!
(3C5A98):16ga:[:]{050503D7}      | You haul items along.
(663333):16ga:[&]{050503D7}      | You are a bit hungry.
(3C5A98):16ga:[:]{050503D7}      | You haul items along.
(A80000):16ga:[!]{050503D7}      | There's a young spruce blocking your way!
(3C5A98):16ga:[:]{050503D7}      | You haul items along.
(A80000):16ga:[!]{050503D7}      | You can't zoom out while hauling!
(575757):16ga:[_]{050503D7}      | You stop hauling items.
(A80000):16ga:[!]{050503D7}      | Some smaller kindling such as branches is required there.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(AB5700):16ga:[+]{050503D7}      | The applicable weapon skill for the knife is "KNIFE".
(AB5700):16ga:[+]{050503D7}      | Weapon classification of the knife gives it zero bonus to attack, and zero bonus to defense.
(AB5700):16ga:[+]{050503D7}      | The applicable weapon skill for the knife is "KNIFE".
(AB5700):16ga:[+]{050503D7}      | Weapon classification of the knife gives it zero bonus to attack, and zero bonus to defense.
(AB5700):16ga:[+]{050503D7}      | The applicable weapon skill for the handaxe is "AXE".
(AB5700):16ga:[+]{050503D7}      | Weapon classification of the handaxe gives it a very little bonus to attack, and a very little bonus to defense.
(143270):16ga:[#]{050503D7}      | HELP AND GAME OPTIONS: Game encyclopedia
(A80000):16ga:[!]{050503D7}      | There's a young spruce blocking your way!
(143270):16ga:[#]{050503D7}      | Things that are here:
(000000):16ga:[r]{050503D7}      | rock
(000000):16ga:[b]{050503D7}      | branch
(A80000):16ga:[!]{050503D7}      | There's a young spruce blocking your way!
(A80000):16ga:[!]{050503D7}      | More firewood is required there.
(143270):16ga:[#]{050503D7}      | Zooming out ... 
(143270):16ga:[#]{050503D7}      | Zooming in ... 
(000000):16ga:[B]{050503D7}      | By this lake, where the surface of the water reflects images of both you and the skies above, you take a closer look at this area.
(A80000):16ga:[!]{050503D7}      | Some smaller kindling such as branches is required there.
(A80000):16ga:[!]{050503D7}      | There's nothing to set on fire.
(575757):16ga:[_]{050503D7}      | Place some firewood over there first and then try to build a fire.
(575757):16ga:[_]{050503D7}      | Only weapons, armours and clothes can be examined.
(143270):16ga:[#]{050503D7}      | HELP AND GAME OPTIONS: Setup options
(143270):16ga:[#]{050503D7}      | HELP AND GAME OPTIONS: Keyboard commands
(3C5A98):16ga:[:]{050503D7}      | You drop the branch.
(A80000):16ga:[!]{050503D7}      | Some smaller kindling such as branches is required there.
(143270):16ga:[#]{050503D7}      | You see 4 slender tree trunks here.
(3C5A98):16ga:[:]{050503D7}      | You feel a bit cool.
(143270):16ga:[#]{050503D7}      | You see 4 slender tree trunks here.
(A80000):16ga:[!]{050503D7}      | More firewood is required there.
(143270):16ga:[#]{050503D7}      | You see 4 slender tree trunks here.
(A80000):16ga:[!]{050503D7}      | There's nothing to set on fire.
(575757):16ga:[_]{050503D7}      | Place some firewood over there first and then try to build a fire.
(3C5A98):16ga:[:]{050503D7}      | You pick up the slender tree trunk.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(A80000):16ga:[!]{050503D7}      | There is nothing here to pick up.
(3C5A98):16ga:[:]{050503D7}      | You drop the slender tree trunk.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(143270):16ga:[#]{050503D7}      | Zooming out ... 
(143270):16ga:[#]{050503D7}      | Zooming in ... 
(000000):16ga:[T]{050503D7}      | There is coniferous forest here and you take a closer look at this area.
(A80000):16ga:[!]{050503D7}      | You don't have anything to drink.
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(143270):16ga:[#]{050503D7}      | Zooming out ... 
(143270):16ga:[#]{050503D7}      | Zooming in ... 
(000000):16ga:[T]{050503D7}      | There is coniferous forest here and you take a closer look at this area.
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(143270):16ga:[#]{050503D7}      | HELP AND GAME OPTIONS: Keyboard commands
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(A80000):16ga:[!]{050503D7}      | There is nothing here to pick up.
(143270):16ga:[#]{050503D7}      | You see a slender tree trunk here.
(3C5A98):16ga:[:]{050503D7}      | You pick up the slender tree trunk.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(3C5A98):16ga:[:]{050503D7}      | You drop the slender tree trunk.
(A80000):16ga:[!]{050503D7}      | There's nothing to set on fire.
(575757):16ga:[_]{050503D7}      | Place some firewood over there first and then try to build a fire.
(A80000):16ga:[!]{050503D7}      | More kindling such as branches is required there.
(A80000):16ga:[!]{050503D7}      | There's a young spruce blocking your way!
(A80000):16ga:[!]{050503D7}      | There is nothing here to pick up.
(143270):16ga:[#]{050503D7}      | Things that are here:
(000000):16ga:[r]{050503D7}      | rock
(000000):16ga:[b]{050503D7}      | branch
(3C5A98):16ga:[:]{050503D7}      | You pick up the branch.
(000000):16ga:[Y]{050503D7}      | You hear willow grouse cooing in the north-west.
(143270):16ga:[#]{050403D7}      | You see a goldeneye feather here.
(A80000):16ga:[!]{050503D7}      | There is nothing here to pick up.
(143270):16ga:[#]{050503D7}      | You see a branch here.
(3C5A98):16ga:[:]{050503D7}      | You pick up the branch.
(143270):16ga:[#]{050403D7}      | You see a rock here.
(663333):16ga:[&]{050403D7}      | You are a bit hungry.
(143270):16ga:[#]{050403D7}      | You see a rock here.
(A80000):16ga:[!]{050303D7}      | There's a big rock blocking your way!
(3C5A98):16ga:[:]{050303D7}      | You drop the 2 branches.
(A80000):16ga:[!]{050303D7}      | There's nothing to set on fire.
(575757):16ga:[_]{050303D7}      | Place some firewood over there first and then try to build a fire.
(143270):16ga:[#]{050303D7}      | You see 2 branches here.
(A80000):16ga:[!]{050303D7}      | More firewood is required there.
(A80000):16ga:[!]{050303D6}      | There's a spruce blocking your way!
(A80000):16ga:[!]{050303D6}      | There's a young spruce blocking your way!
(A80000):16ga:[!]{050303D6}      | There is nothing here to pick up.
(143270):16ga:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16ga:[#]{050303D6}      | Timbercraft option: Fell a tree
(147870):16ga:[?]{050303D6}      | (1) You need cutting weapon or by hand.
(AB5700):16ga:[+]{050303D6}      | The knife in your inventory will be used.
(000000):16ga:[O]{050303D6}      | Ok, you have all the necessary equipment!
(3C5A98):16ga:[:]{050303D6}      | The tree falls down.
(143270):16ga:[#]{050303D6}      | You see a spruce sapling here.
(143270):16ga:[#]{050303D6}      | You see a spruce sapling here.
(3C5A98):16ga:[:]{050303D6}      | You pick up the spruce sapling.
(A80000):16ga:[!]{050303D7}      | More firewood is required there.
(3C5A98):16ga:[:]{050303D7}      | You drop the spruce sapling.
(3C5A98):16ga:[:]{050303D7}      | You pick up the spruce sapling.
(143270):16ga:[#]{050303D7}      | You see 2 branches here.
(3C5A98):16ga:[:]{050303D7}      | You drop the spruce sapling.
(000000):16gb:[Y]{050303D7}      | You did not succeed in making a fire.
(663333):16gb:[&]{050303D7}      | You are a bit hungry.
(000000):16gb:[Y]{050303D7}      | You managed to make a fire.
(3C5A98):16gb:[:]{050303D7}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(143270):16gb:[#]{050303D7}      | A game-course event is coming up...
(AB5700):16gb:[+]{050303D7}      | You got a fresh pike!
(143270):16gb:[#]{050303D7}      | Using: FISHING
(143270):16gb:[#]{050303D7}      | Fishing options: Set a net
(A80000):16gb:[!]{050303D7}      | There's no open water around here!
(143270):16gb:[#]{050303D7}      | Using: FISHING
(143270):16gb:[#]{050303D7}      | Fishing options: Set a net
(A80000):16gb:[!]{050303D7}      | You can't fish with that!
(143270):16gb:[#]{050303D7}      | Using: FISHING
(143270):16gb:[#]{050303D7}      | Fishing options: Active fishing
(000000):16gb:[Y]{050303D7}      | You ready yourself to knock down any fish that dares to approach the coast-line.
(3C5A98):16gb:[:]{050303D7}      | You feel comfortably warm.
(3C5A98):16gc:[:]{050303D7}      | You are feeling rather warm.
(3C5A98):16gc:[:]{050303D7}      | You feel warm.
(3C5A98):16gd:[:]{050303D7}      | You are feeling hot.
(000000):16gd:[Y]{050303D7}      | You didn't manage to catch any fish.
(663333):16gd:[&]{050303D7}      | You are hungry.
(143270):16gd:[#]{050303D7}      | Using: FISHING
(143270):16gd:[#]{050303D7}      | Fishing options: Active fishing
(A80000):16gd:[!]{050303D7}      | You can't fish with that!
(143270):16gd:[#]{050303D7}      | Using: FISHING
(143270):16gd:[#]{050303D7}      | Fishing options: Active fishing
(A80000):16gd:[!]{050303D7}      | You can't fish with that!
(143270):16gd:[#]{050303D7}      | Using: FISHING
(143270):16gd:[#]{050303D7}      | Fishing options: Active fishing
(A80000):16gd:[!]{050303D7}      | You can't fish with that!
(143270):16gd:[#]{050303D7}      | Using: FISHING
(143270):16gd:[#]{050303D7}      | Fishing options: Active fishing
(000000):16gd:[Y]{050303D7}      | You ready yourself to knock down any fish that dares to approach the coast-line.
(3C5A98):16gd:[:]{050303D7}      | You are sweaty.
(000000):16gf:[Y]{050303D7}      | You hear kuikka calling in the west.
(000000):16gg:[Y]{050303D7}      | You didn't manage to catch any fish.
(3C5A98):16gg:[:]{050303D7}      | The water here is shallow enough to wade.
(147870):16gg:[?]{050303D7}      | Step into water?
(3C5A98):16gg:[:]{050303D7}      | You feel a bit cool.
(3C5A98):16gg:[:]{050303D7}      | You get out of the water.
(143270):16gg:[#]{050303D7}      | Using: FISHING
(143270):16gg:[#]{050303D7}      | Fishing options: Active fishing
(000000):16gg:[Y]{050303D7}      | You ready yourself to knock down any fish that dares to approach the coast-line.
(3C5A98):16gg:[:]{050303D7}      | You feel comfortably warm.
(3C5A98):16gh:[:]{050303D7}      | You are feeling rather warm.
(3C5A98):16gh:[:]{050303D7}      | You feel warm.
(3C5A98):16gi:[:]{050303D7}      | You are feeling hot.
(000000):16gi:[Y]{050303D7}      | You didn't manage to catch any fish.
(3C5A98):16gi:[:]{050303D7}      | The water here is shallow enough to wade.
(147870):16gi:[?]{050303D7}      | Step into water?
(3C5A98):16gi:[:]{050303D7}      | You feel a bit cool.
(3C5A98):16gi:[:]{050303D7}      | You get out of the water.
(143270):16gi:[#]{050303D7}      | You see a rock here.
(3C5A98):16gi:[:]{050303D7}      | The water here is shallow enough to wade.
(147870):16gi:[?]{050303D7}      | Step into water?
(143270):16gi:[#]{050303D7}      | You see a patch of 7 growing lake reeds here.
(3C5A98):16gi:[:]{050303D7}      | It can be harvested after over a month. 
(143270):16gi:[#]{050303D7}      | You see a patch of 6 growing lake reeds here.
(3C5A98):16gi:[:]{050303D7}      | It can be harvested after over a month. 
(143270):16gi:[#]{050303D7}      | You see a patch of 6 growing lake reeds here.
(3C5A98):16gi:[:]{050303D7}      | It can be harvested after over a month. 
(A80000):16gi:[!]{050303D7}      | It's deep water there! You need to swim, or go by watercraft.
(147870):16gi:[?]{050303D7}      | Swim?
(143270):16gi:[#]{050303D7}      | Using: FISHING
(143270):16gi:[#]{050303D7}      | Fishing options: Active fishing
(000000):16gi:[Y]{050303D7}      | You ready yourself to knock down any fish that dares to approach the coast-line.
(3C5A98):16gi:[:]{050303D7}      | You feel chilly.
(3C5A98):16gi:[:]{050303D7}      | You feel cold.
(3C5A98):16gj:[:]{050303D7}      | You feel bitterly cold.
(000000):16gj:[Y]{050303D7}      | You hear rustle of wings from the south-west.
(3C5A98):16gj:[:]{050303D7}      | You are numbingly cold.
(000000):16gk:[Y]{050303D7}      | You hear rustle of wings from the west.
(3C5A98):16gk:[:]{050303D7}      | Meanwhile, kuikka enters your view...
(147870):16gk:[?]{050303D7}      | Abort task?
(000000):16gk:[K]{050303D7}      | Kuikka lands down.
(000000):16gk:[K]{050303D7}      | Kuikka flies up into the air.
(000000):16gk:[T]{050303D7}      | The kuikka calls.
(3C5A98):16gk:[:]{050303D7}      | You are freezing.
(663333):16gk:[&]{050303D7}      | You are shivering all over from the cold and feel confused.
(147870):16gk:[?]{050303D7}      | Abort task?
(A80000):16gk:[!]{050303D7}      | Task cancelled!
(143270):16gk:[#]{050303D7}      | You see a patch of 6 growing lake reeds here.
(3C5A98):16gk:[:]{050303D7}      | It can be harvested after over a month. 
(143270):16gk:[#]{050303D7}      | You see a patch of 7 growing lake reeds here.
(3C5A98):16gk:[:]{050303D7}      | It can be harvested after over a month. 
(3C5A98):16gk:[:]{050303D7}      | You get out of the water.
(143270):16gk:[#]{050303D7}      | You see a rock here.
(000000):16gk:[T]{050303D7}      | The kuikka seems alert. 
(000000):16gk:[T]{050303D7}      | The kuikka gets some distance.
(143270):16gk:[#]{050303D7}      | You see 2 kuikka feathers here.
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(663333):16gk:[&]{050303D6}      | You are shivering all over from the cold and feel confused.
(000000):16gk:[Y]{050303D6}      | You hear something running away in the south-west.
(A80000):16gk:[!]{050303D6}      | There's a young spruce blocking your way!
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gk:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gk:[#]{050303D6}      | Timbercraft option: Fell a tree
(147870):16gk:[?]{050303D6}      | (1) You need cutting weapon or by hand.
(AB5700):16gk:[+]{050303D6}      | The knife in your inventory will be used.
(000000):16gk:[O]{050303D6}      | Ok, you have all the necessary equipment!
(663333):16gk:[&]{050303D6}      | Your timbercraft performance is just a little disturbed due to the load you are carrying.
(3C5A98):16gk:[:]{050303D6}      | The tree falls down.
(663333):16gk:[&]{050303D6}      | You are shivering all over from the cold and feel confused.
(CC3333):16gk:[&]{050303D6}      | You are hungry as a bear!
(663333):16gk:[&]{050303D6}      | You are a bit thirsty.
(000000):16gk:[Y]{050303D6}      | You hear kuikka calling in the south-east.
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gk:[#]{050303D6}      | Using: BOW
(A80000):16gk:[!]{050303D6}      | This skill is automatically used when necessary!
(AB5700):16gk:[+]{050303D6}      | The shortbow wielded as a primary weapon.
(A80000):16gk:[!]{050303D6}      | Don't strike with a bow, but use [t]hrow command and select an arrow to shoot.
(A80000):16gk:[!]{050303D6}      | Throwing a bow isn't a wise move! Keep it wielded and shoot arrows instead.
(3C5A98):16gk:[:]{050303D6}      | You are numbingly cold.
(000000):16gk:[T]{050303D6}      | The kuikka seems alert. 
(000000):16gk:[K]{050303D7}      | Kuikka flees.
(000000):16gk:[K]{050303D7}      | Kuikka flies up into the air.
(000000):16gk:[Y]{050303D7}      | You hear rustle of wings from the south-east.
(000000):16gk:[Y]{050303D6}      | You hear willow grouse cooing in the north-east.
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gk:[#]{050203D6}      | Things that are here:
